BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_001189575.1_ASM118957v1_genomic-NZ_LGTO01000007.1.region002	NZ_LGTO01000007.1	NZ_LGTO01000007.1 Virgibacillus pantothenticus strain DSM 26 super13, whole genome shotgun sequence	T3PKS.ectoine	Others		
GCF_001189575.1_ASM118957v1_genomic-NZ_LGTO01000007.1.region003	NZ_LGTO01000007.1	NZ_LGTO01000007.1 Virgibacillus pantothenticus strain DSM 26 super13, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_001189575.1_ASM118957v1_genomic-NZ_LGTO01000007.1.region004	NZ_LGTO01000007.1	NZ_LGTO01000007.1 Virgibacillus pantothenticus strain DSM 26 super13, whole genome shotgun sequence	T3PKS	PKSother		
GCF_001189575.1_ASM118957v1_genomic-NZ_LGTO01000007.1.region005	NZ_LGTO01000007.1	NZ_LGTO01000007.1 Virgibacillus pantothenticus strain DSM 26 super13, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_001310895.1_ASM131089v1_genomic-NZ_BAZS01000006.1.region001	NZ_BAZS01000006.1	NZ_BAZS01000006.1 Virgibacillus halodenitrificans JCM 12304, whole genome shotgun sequence	T3PKS	PKSother		
GCF_001310895.1_ASM131089v1_genomic-NZ_BAZS01000020.1.region001	NZ_BAZS01000020.1	NZ_BAZS01000020.1 Virgibacillus halodenitrificans JCM 12304, whole genome shotgun sequence	terpene	Terpene		
GCF_001310895.1_ASM131089v1_genomic-NZ_BAZS01000027.1.region001	NZ_BAZS01000027.1	NZ_BAZS01000027.1 Virgibacillus halodenitrificans JCM 12304, whole genome shotgun sequence	T3PKS	PKSother		
GCF_001310895.1_ASM131089v1_genomic-NZ_BAZS01000036.1.region001	NZ_BAZS01000036.1	NZ_BAZS01000036.1 Virgibacillus halodenitrificans JCM 12304, whole genome shotgun sequence	ectoine	Others		
GCF_001310895.1_ASM131089v1_genomic-NZ_BAZS01000044.1.region001	NZ_BAZS01000044.1	NZ_BAZS01000044.1 Virgibacillus halodenitrificans JCM 12304, whole genome shotgun sequence	terpene	Terpene		
GCF_001878675.1_ASM187867v1_genomic-NZ_CP017962.1.region001	NZ_CP017962.1	NZ_CP017962.1 Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome	T3PKS	PKSother		
GCF_001878675.1_ASM187867v1_genomic-NZ_CP017962.1.region002	NZ_CP017962.1	NZ_CP017962.1 Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome	terpene	Terpene		
GCF_001878675.1_ASM187867v1_genomic-NZ_CP017962.1.region003	NZ_CP017962.1	NZ_CP017962.1 Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome	T3PKS	PKSother		
GCF_001878675.1_ASM187867v1_genomic-NZ_CP017962.1.region004	NZ_CP017962.1	NZ_CP017962.1 Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome	ectoine	Others		
GCF_001878675.1_ASM187867v1_genomic-NZ_CP017962.1.region005	NZ_CP017962.1	NZ_CP017962.1 Virgibacillus halodenitrificans strain PDB-F2 chromosome, complete genome	terpene	Terpene		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region001	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	lanthipeptide-class-ii	RiPPs		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region002	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	NRPS	NRPS		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region003	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	terpene	Terpene		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region004	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	T3PKS.ectoine	Others		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region005	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	RiPP-like	RiPPs		
GCF_001895305.1_ASM189530v1_genomic-NZ_CP017762.1.region006	NZ_CP017762.1	NZ_CP017762.1 Virgibacillus sp. 6R chromosome, complete genome	T3PKS	PKSother		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region001	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	terpene	Terpene		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region002	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	T3PKS	PKSother		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region003	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	betalactone	Others		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region004	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	lassopeptide	RiPPs		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region005	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	ectoine	Others		
GCF_002216775.1_ASM221677v1_genomic-NZ_CP022315.1.region006	NZ_CP022315.1	NZ_CP022315.1 Virgibacillus phasianinus strain LM2416 chromosome, complete genome	NI-siderophore.T3PKS	Others		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region001	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	terpene	Terpene		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region002	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	ectoine	Others		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region003	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	T3PKS	PKSother		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region004	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	betalactone	Others		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region005	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	NI-siderophore	Others		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region006	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	lassopeptide	RiPPs		
GCF_002224365.1_ASM222436v1_genomic-NZ_CP022437.1.region007	NZ_CP022437.1	NZ_CP022437.1 Virgibacillus necropolis strain LMG 19488 chromosome, complete genome	T3PKS	PKSother		
GCF_002266285.1_ASM226628v1_genomic-NZ_NPMS01000001.1.region001	NZ_NPMS01000001.1	NZ_NPMS01000001.1 Virgibacillus indicus strain P2-C2 NODE_1_length_1133008_cov_103.99, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002266285.1_ASM226628v1_genomic-NZ_NPMS01000001.1.region002	NZ_NPMS01000001.1	NZ_NPMS01000001.1 Virgibacillus indicus strain P2-C2 NODE_1_length_1133008_cov_103.99, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002266285.1_ASM226628v1_genomic-NZ_NPMS01000001.1.region003	NZ_NPMS01000001.1	NZ_NPMS01000001.1 Virgibacillus indicus strain P2-C2 NODE_1_length_1133008_cov_103.99, whole genome shotgun sequence	ectoine	Others		
GCF_002266285.1_ASM226628v1_genomic-NZ_NPMS01000002.1.region001	NZ_NPMS01000002.1	NZ_NPMS01000002.1 Virgibacillus indicus strain P2-C2 NODE_2_length_383279_cov_167.524, whole genome shotgun sequence	lassopeptide	RiPPs		
GCF_002266285.1_ASM226628v1_genomic-NZ_NPMS01000003.1.region001	NZ_NPMS01000003.1	NZ_NPMS01000003.1 Virgibacillus indicus strain P2-C2 NODE_3_length_356743_cov_144.315, whole genome shotgun sequence	terpene	Terpene		
GCF_002287375.1_ASM228737v1_genomic-NZ_NPOA01000001.1.region001	NZ_NPOA01000001.1	NZ_NPOA01000001.1 Virgibacillus profundi strain P3-H5 NODE_1_length_739797_cov_115.736, whole genome shotgun sequence	lassopeptide	RiPPs		
GCF_002287375.1_ASM228737v1_genomic-NZ_NPOA01000003.1.region001	NZ_NPOA01000003.1	NZ_NPOA01000003.1 Virgibacillus profundi strain P3-H5 NODE_3_length_288267_cov_117.568, whole genome shotgun sequence	terpene	Terpene		
GCF_002287375.1_ASM228737v1_genomic-NZ_NPOA01000007.1.region001	NZ_NPOA01000007.1	NZ_NPOA01000007.1 Virgibacillus profundi strain P3-H5 NODE_7_length_257157_cov_109.592, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002287375.1_ASM228737v1_genomic-NZ_NPOA01000010.1.region001	NZ_NPOA01000010.1	NZ_NPOA01000010.1 Virgibacillus profundi strain P3-H5 NODE_10_length_177630_cov_111.399, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002287375.1_ASM228737v1_genomic-NZ_NPOA01000016.1.region001	NZ_NPOA01000016.1	NZ_NPOA01000016.1 Virgibacillus profundi strain P3-H5 NODE_16_length_116747_cov_114.538, whole genome shotgun sequence	ectoine	Others		
GCF_002807645.1_ASM280764v1_genomic-NZ_NPMW01000001.1.region001	NZ_NPMW01000001.1	NZ_NPMW01000001.1 Virgibacillus profundi strain P3-B8 NODE_1_length_739797_cov_96.3222, whole genome shotgun sequence	lassopeptide	RiPPs		
GCF_002807645.1_ASM280764v1_genomic-NZ_NPMW01000003.1.region001	NZ_NPMW01000003.1	NZ_NPMW01000003.1 Virgibacillus profundi strain P3-B8 NODE_3_length_288267_cov_97.38, whole genome shotgun sequence	terpene	Terpene		
GCF_002807645.1_ASM280764v1_genomic-NZ_NPMW01000007.1.region001	NZ_NPMW01000007.1	NZ_NPMW01000007.1 Virgibacillus profundi strain P3-B8 NODE_7_length_257157_cov_83.6839, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002807645.1_ASM280764v1_genomic-NZ_NPMW01000010.1.region001	NZ_NPMW01000010.1	NZ_NPMW01000010.1 Virgibacillus profundi strain P3-B8 NODE_10_length_177630_cov_87.2938, whole genome shotgun sequence	T3PKS	PKSother		
GCF_002807645.1_ASM280764v1_genomic-NZ_NPMW01000016.1.region001	NZ_NPMW01000016.1	NZ_NPMW01000016.1 Virgibacillus profundi strain P3-B8 NODE_16_length_116747_cov_94.512, whole genome shotgun sequence	ectoine	Others		
GCF_002849835.1_ASM284983v1_genomic-NZ_CP018622.1.region001	NZ_CP018622.1	NZ_CP018622.1 Virgibacillus dokdonensis strain 21D chromosome, complete genome	terpene	Terpene		
GCF_002849835.1_ASM284983v1_genomic-NZ_CP018622.1.region002	NZ_CP018622.1	NZ_CP018622.1 Virgibacillus dokdonensis strain 21D chromosome, complete genome	lanthipeptide-class-ii	RiPPs		
GCF_002849835.1_ASM284983v1_genomic-NZ_CP018622.1.region003	NZ_CP018622.1	NZ_CP018622.1 Virgibacillus dokdonensis strain 21D chromosome, complete genome	NRPS.transAT-PKS	PKS-NRP_Hybrids		
GCF_002849835.1_ASM284983v1_genomic-NZ_CP018622.1.region004	NZ_CP018622.1	NZ_CP018622.1 Virgibacillus dokdonensis strain 21D chromosome, complete genome	T3PKS	PKSother		
GCF_002849835.1_ASM284983v1_genomic-NZ_CP018622.1.region005	NZ_CP018622.1	NZ_CP018622.1 Virgibacillus dokdonensis strain 21D chromosome, complete genome	T3PKS.ectoine	Others		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000002.1.region001	NZ_NFZX01000002.1	NZ_NFZX01000002.1 Virgibacillus dokdonensis strain AK90 NODE_2_length_211005_cov_82.6085_ID_3, whole genome shotgun sequence	T3PKS	PKSother		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000010.1.region001	NZ_NFZX01000010.1	NZ_NFZX01000010.1 Virgibacillus dokdonensis strain AK90 NODE_10_length_91604_cov_96.5873_ID_19, whole genome shotgun sequence	terpene	Terpene		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000013.1.region001	NZ_NFZX01000013.1	NZ_NFZX01000013.1 Virgibacillus dokdonensis strain AK90 NODE_13_length_83256_cov_85.1002_ID_25, whole genome shotgun sequence	ectoine	Others		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000036.1.region001	NZ_NFZX01000036.1	NZ_NFZX01000036.1 Virgibacillus dokdonensis strain AK90 NODE_36_length_37136_cov_91.0689_ID_71, whole genome shotgun sequence	T3PKS	PKSother		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000053.1.region001	NZ_NFZX01000053.1	NZ_NFZX01000053.1 Virgibacillus dokdonensis strain AK90 NODE_53_length_23367_cov_100.966_ID_105, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_003399705.1_ASM339970v1_genomic-NZ_NFZX01000068.1.region001	NZ_NFZX01000068.1	NZ_NFZX01000068.1 Virgibacillus dokdonensis strain AK90 NODE_68_length_15641_cov_92.172_ID_135, whole genome shotgun sequence	NRPS-like	NRPS		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region001	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	RRE-containing	RiPPs		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region002	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	terpene	Terpene		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region003	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	NRPS-like.transAT-PKS-like.NRPS	PKS-NRP_Hybrids		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region004	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	T3PKS	PKSother		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region005	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	ectoine	Others		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region006	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	T3PKS	PKSother		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region007	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	NRPS	NRPS		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region008	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	NRP-metallophore.NRPS	Others		
GCF_003667785.1_ASM366778v1_genomic-NZ_CP033046.1.region009	NZ_CP033046.1	NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome	terpene	Terpene		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033049.1.region001	NZ_CP033049.1	NZ_CP033049.1 Virgibacillus halodenitrificans strain Bac324 chromosome, complete genome	terpene	Terpene		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033049.1.region002	NZ_CP033049.1	NZ_CP033049.1 Virgibacillus halodenitrificans strain Bac324 chromosome, complete genome	ectoine	Others		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033049.1.region003	NZ_CP033049.1	NZ_CP033049.1 Virgibacillus halodenitrificans strain Bac324 chromosome, complete genome	T3PKS	PKSother		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033049.1.region004	NZ_CP033049.1	NZ_CP033049.1 Virgibacillus halodenitrificans strain Bac324 chromosome, complete genome	terpene	Terpene		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033049.1.region005	NZ_CP033049.1	NZ_CP033049.1 Virgibacillus halodenitrificans strain Bac324 chromosome, complete genome	T3PKS	PKSother		
GCF_003667805.1_ASM366780v1_genomic-NZ_CP033050.1.region001	NZ_CP033050.1	NZ_CP033050.1 Virgibacillus halodenitrificans strain Bac324 plasmid unnamed, complete sequence	NRPS	NRPS		
GCF_003667845.1_ASM366784v1_genomic-NZ_CP033048.1.region001	NZ_CP033048.1	NZ_CP033048.1 Virgibacillus sp. Bac330 chromosome, complete genome	terpene	Terpene		
GCF_003667845.1_ASM366784v1_genomic-NZ_CP033048.1.region002	NZ_CP033048.1	NZ_CP033048.1 Virgibacillus sp. Bac330 chromosome, complete genome	T3PKS.NRPS	PKS-NRP_Hybrids		
GCF_003667845.1_ASM366784v1_genomic-NZ_CP033048.1.region003	NZ_CP033048.1	NZ_CP033048.1 Virgibacillus sp. Bac330 chromosome, complete genome	T3PKS.ectoine	Others		
GCF_003667845.1_ASM366784v1_genomic-NZ_CP033048.1.region004	NZ_CP033048.1	NZ_CP033048.1 Virgibacillus sp. Bac330 chromosome, complete genome	NRPS.transAT-PKS	PKS-NRP_Hybrids		
GCF_009721585.1_ASM972158v1_genomic-NZ_WNMF01000006.1.region001	NZ_WNMF01000006.1	NZ_WNMF01000006.1 Virgibacillus dakarensis strain X50WSS607 ctg_6, whole genome shotgun sequence	T3PKS	PKSother		
GCF_009721585.1_ASM972158v1_genomic-NZ_WNMF01000013.1.region001	NZ_WNMF01000013.1	NZ_WNMF01000013.1 Virgibacillus dakarensis strain X50WSS607 ctg_13, whole genome shotgun sequence	T3PKS	PKSother		
GCF_009721585.1_ASM972158v1_genomic-NZ_WNMF01000024.1.region001	NZ_WNMF01000024.1	NZ_WNMF01000024.1 Virgibacillus dakarensis strain X50WSS607 ctg_24, whole genome shotgun sequence	ectoine	Others		
GCF_009721585.1_ASM972158v1_genomic-NZ_WNMF01000078.1.region001	NZ_WNMF01000078.1	NZ_WNMF01000078.1 Virgibacillus dakarensis strain X50WSS607 ctg_78, whole genome shotgun sequence	terpene	Terpene		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000001.1.region001	NZ_WMER01000001.1	NZ_WMER01000001.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_1_length_1633787_cov_40.8038, whole genome shotgun sequence	terpene	Terpene		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000001.1.region002	NZ_WMER01000001.1	NZ_WMER01000001.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_1_length_1633787_cov_40.8038, whole genome shotgun sequence	betalactone	Others		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000002.1.region001	NZ_WMER01000002.1	NZ_WMER01000002.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_2_length_1149539_cov_33.9765, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000002.1.region002	NZ_WMER01000002.1	NZ_WMER01000002.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_2_length_1149539_cov_33.9765, whole genome shotgun sequence	T3PKS	PKSother		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000002.1.region003	NZ_WMER01000002.1	NZ_WMER01000002.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_2_length_1149539_cov_33.9765, whole genome shotgun sequence	ectoine	Others		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000002.1.region004	NZ_WMER01000002.1	NZ_WMER01000002.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_2_length_1149539_cov_33.9765, whole genome shotgun sequence	T3PKS	PKSother		
